formulation,mesh_name,output,mesh_value,fine_mesh_value,relative_difference_percent
Free KC,Coarse,Q_receptor_24h_ug_cm2,26.32422619988375,26.324226599121825,1.5166184426529258e-06
Free KC,Coarse,Q_SC_24h_ug_cm2,0.9022071316997328,0.9022146537736812,0.0008337344019864
Free KC,Coarse,Q_EP_24h_ug_cm2,6.223907149215546,6.223908635328679,2.387748953386551e-05
Free KC,Base,Q_receptor_24h_ug_cm2,26.32422645301083,26.324226599121825,5.550438291227156e-07
Free KC,Base,Q_SC_24h_ug_cm2,0.902213150446222,0.9022146537736812,0.0001666263624622
Free KC,Base,Q_EP_24h_ug_cm2,6.223908404662308,6.223908635328679,3.706133634861277e-06
KLZ-NPs,Coarse,Q_receptor_24h_ug_cm2,33.12229851004812,33.122306407870084,2.3844420340002907e-05
KLZ-NPs,Coarse,Q_SC_24h_ug_cm2,2.7006749391213267,2.700691070064896,0.0005972894770577
KLZ-NPs,Coarse,Q_EP_24h_ug_cm2,9.415313892553955,9.415316909654427,3.2044598167593264e-05
KLZ-NPs,Base,Q_receptor_24h_ug_cm2,33.122304789134496,33.122306407870084,4.887146348762034e-06
KLZ-NPs,Base,Q_SC_24h_ug_cm2,2.700687847226026,2.700691070064896,0.0001193338588674
KLZ-NPs,Base,Q_EP_24h_ug_cm2,9.41531635748247,9.415316909654427,5.864613620904183e-06
