formulation,time_h,Q_receptor_ug_cm2,C_receptor_exp_ug_mL,C_receptor_exp_ug_cm3
Free KC,4,0.7,0.23692307692307693,0.23692307692307693
Free KC,6,1.8,0.6092307692307692,0.6092307692307692
Free KC,8,4.3,1.4553846153846155,1.4553846153846155
Free KC,12,10.4,3.5200000000000005,3.5200000000000005
Free KC,24,26.81,9.074153846153846,9.074153846153846
KLZ-NPs,4,1.7,0.5753846153846154,0.5753846153846154
KLZ-NPs,6,3.8,1.286153846153846,1.286153846153846
KLZ-NPs,8,6.7,2.267692307692308,2.267692307692308
KLZ-NPs,12,13.6,4.603076923076923,4.603076923076923
KLZ-NPs,24,33.19,11.233538461538462,11.233538461538462
